text,createTime,diggCount,shareCount,playCount,commentCount,mentions,authorMeta.name,authorMeta.nickName,authorMeta.verified,musicMeta.musicName,musicMeta.musicAuthor,musicMeta.musicOriginal,videoMeta.height,videoMeta.width,videoMeta.duration,hashtags.name,hashtags.title
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,2080,17,39300,19,,_ylvax,💘 Ylva Bloemsma 💘,False,WITHOUT YOU,The Kid LAROI,False,1024,576,9,foryoupage,
Iknow maagdenvlies bestaat niet😄 #foryou #fyp #foryoupage #fy,1607171987,2080,17,39300,19,,_ylvax,💘 Ylva Bloemsma 💘,False,WITHOUT YOU,The Kid LAROI,False,1024,576,9,fy,
Ben hopelijk niet de enigste😭 #fyp #dutch #fy,1603368929,3275,338,65900,159,,aylaisah,Ayla Umarella,False,origineel geluid,mememeiland,True,1024,576,8,fyp,
Ben hopelijk niet de enigste😭 #fyp #dutch #fy,1603368929,3275,338,65900,159,,aylaisah,Ayla Umarella,False,origineel geluid,mememeiland,True,1024,576,8,dutch,
Ben hopelijk niet de enigste😭 #fyp #dutch #fy,1603368929,3275,338,65900,159,,aylaisah,Ayla Umarella,False,origineel geluid,mememeiland,True,1024,576,8,fy,
#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,1602622611,6268,26,45700,68,@charlielifefitness,gaaf_in,Gavin Reijnders,False,Jailhouse Rock,Elvis Presley,False,1024,576,10,stitch,"Make the ultimate collab with your fav creators with our brand new feature, #STITCH! Just find a TikTok video you love, press share, and send it to Stitch."
#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,1602622611,6268,26,45700,68,@charlielifefitness,gaaf_in,Gavin Reijnders,False,Jailhouse Rock,Elvis Presley,False,1024,576,10,dutch,
#stitch met @charlielifefitness vandaag in deze aflevering van “hoeveel TikTok kan ik kijken totdat ik mezelf compleet haat...” #dutch #humor,1602622611,6268,26,45700,68,@charlielifefitness,gaaf_in,Gavin Reijnders,False,Jailhouse Rock,Elvis Presley,False,1024,576,10,humor,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,sportplazagroenendaal,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,zwemmen,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,zwembad,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,glijbaan,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,badmeester,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,badjuf,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,werken,
Wist jij dit? 👀 #sportplazagroenendaal #zwemmen #zwembad #glijbaan #badmeester #badjuf #werken #glijbaanchallenge,1604848016,57300,208,1200000,336,,sportplazagroenendaal,SportPlaza Heemstede,False,Street Fashion Game,JVLES,True,1024,576,13,glijbaanchallenge,
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,1608061583,6629,92,61500,1166,,roblox_trollingexploits,Error 123,False,original sound,0,True,1024,576,15,roblox,
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,1608061583,6629,92,61500,1166,,roblox_trollingexploits,Error 123,False,original sound,0,True,1024,576,15,hacks,
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,1608061583,6629,92,61500,1166,,roblox_trollingexploits,Error 123,False,original sound,0,True,1024,576,15,exploiting,
Lets help the bacons #roblox #hacks #exploiting #bunbungirls,1608061583,6629,92,61500,1166,,roblox_trollingexploits,Error 123,False,original sound,0,True,1024,576,15,bunbungirls,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,dance,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,garrafa,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,horadearrasar,Use o novo Modelo de Vídeo (MV) do TikTok e arrase na trend com suas melhores fotos! 😎
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,girl,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,challenge,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,musically,
#dance #garrafa #horadearrasar #girl #challenge #musically #music,1608239180,14500,470,174400,267,,jhullyduarte,Jhully Duarte,False,som original,Jhully Duarte,True,1136,576,13,music,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,nederland,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,dutch,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,stamppot,
Welkom in Nederland🙋🏼‍♂️ #nederland #dutch #stamppot #voorjoupagina #fyp #foodmeme #flodder #15sworkout,1602595262,23900,505,346500,181,,chef.lukeyluc,Chef.LukeyLuc,False,Originalton,Kattyyy🍁,True,1024,576,8,voorjoupagina,
